Date,Open,High,Low,Close
"2014-02-10 07:30:00",696.8,696.8,692.22,691.31
"2014-02-10 07:45:00",691.31,694.14,686.32,685.8
"2014-02-10 08:00:00",685.8,688.26,683.24,684.88
"2014-02-10 08:15:00",684.88,685.06,682.61,684.26
"2014-02-10 08:30:00",684.26,688.13,683.84,688.47
"2014-02-10 08:45:00",688.47,688.97,686.63,685.15
"2014-02-10 09:00:00",685.15,685.67,680.78,682.74
"2014-02-10 09:15:00",682.74,686.53,682.65,686.57
"2014-02-10 09:30:00",686.57,686.57,676.46,678.56
"2014-02-10 09:45:00",678.56,681.18,675.22,678.66
"2014-02-10 10:00:00",678.66,681.68,660.5,659.92
"2014-02-10 10:15:00",659.92,659.92,634.51,636.18
"2014-02-10 10:30:00",636.18,636.18,623.8,622.26
"2014-02-10 10:45:00",622.26,622.26,551.32,573
"2014-02-10 11:00:00",573,594.81,535.78,596.47
"2014-02-10 11:15:00",596.47,601.67,569.88,604.8
"2014-02-10 11:30:00",604.8,625.97,598.27,626.99
"2014-02-10 11:45:00",626.99,638.51,621.36,630.61
"2014-02-10 12:00:00",630.61,631.76,612.93,609.71
"2014-02-10 12:15:00",609.71,611.03,595.8,594.36
"2014-02-10 12:30:00",594.36,610.79,594.36,609.84
"2014-02-10 12:45:00",609.84,613.56,605.61,607.38
"2014-02-10 13:00:00",607.38,608.83,603.01,603.53
"2014-02-10 13:15:00",603.53,613.35,602.79,615.58
"2014-02-10 13:30:00",615.58,615.58,598.53,606.82
"2014-02-10 13:45:00",606.82,611.44,606.82,606.77
"2014-02-10 14:00:00",606.77,608.6,605.78,607.82
"2014-02-10 14:15:00",607.82,619.89,607.82,619.39
"2014-02-10 14:30:00",619.39,634.76,619.29,634.97
"2014-02-10 14:45:00",634.97,649.03,634.97,646.02
"2014-02-10 15:00:00",646.02,646.02,633.93,635.63
"2014-02-10 15:15:00",635.63,647.95,635.63,631.93
"2014-02-10 15:30:00",631.93,653.41,631.93,653.62
"2014-02-10 15:45:00",653.62,662.62,648.43,654.35
"2014-02-10 16:00:00",654.35,678.15,654.35,676.03
"2014-02-10 16:15:00",676.03,676.03,670.08,670.68
"2014-02-10 16:30:00",670.68,676.36,670.22,670.87
"2014-02-10 16:45:00",670.87,670.87,659.37,661.65
"2014-02-10 17:00:00",661.65,665.99,654.57,656.15
"2014-02-10 17:15:00",656.15,668.56,656.04,667.7
"2014-02-10 17:30:00",667.7,671.04,664.8,670.82
"2014-02-10 17:45:00",670.82,670.82,662.75,665.13
"2014-02-10 18:00:00",665.13,665.13,656,656.54
"2014-02-10 18:15:00",656.54,657.13,654.35,655.28
"2014-02-10 18:30:00",655.28,665.53,655.28,657.76
"2014-02-10 18:45:00",657.76,657.97,655.39,655.59
"2014-02-10 19:00:00",655.59,657.16,652.72,654.43
"2014-02-10 19:15:00",654.43,660.85,654.43,660.47
"2014-02-10 19:30:00",660.47,663.37,660.01,662.72
"2014-02-10 19:45:00",662.72,663,660.5,661.94
"2014-02-10 20:00:00",661.94,665.42,661.11,665.25
"2014-02-10 20:15:00",665.25,666.21,662.23,662.19
"2014-02-10 20:30:00",662.19,663.01,660.97,663.45
"2014-02-10 20:45:00",663.45,665.02,663.05,664.38
"2014-02-10 21:00:00",664.38,665.68,663.58,664.22
"2014-02-10 21:15:00",664.22,665.24,664.01,664.13
"2014-02-10 21:30:00",664.13,670.78,664.13,667.84
"2014-02-10 21:45:00",667.84,674.05,667.64,667.54
"2014-02-10 22:00:00",667.54,673.59,666.78,675.42
"2014-02-10 22:15:00",675.42,675.42,667.77,676.63
"2014-02-10 22:30:00",676.63,676.63,665.91,665.64
"2014-02-10 22:45:00",665.64,665.64,661.26,663.16
"2014-02-10 23:00:00",663.16,676.25,661.86,673.18
"2014-02-10 23:15:00",673.18,673.18,669.23,670.91
"2014-02-10 23:30:00",670.91,674.96,670.91,674.74
"2014-02-10 23:45:00",674.74,681.34,673.77,679.73
"2014-02-12 00:00:00",669.02,670.47,666.32,666.55
"2014-02-12 00:15:00",666.55,666.55,660.38,660.38

"This data was produced from the CoinDesk Bitcoin Price Index. BPI value data is listed in USD."
http://www.coindesk.com/price/
